epoch	time	lr	train loss	train acc	testloss	test acc
0	0:0	0.1	2.4	12.1	2.27	13.7
1	0:0	0.1	2.09	20.1	2.01	24.2
2	0:0	0.1	1.86	30.1	1.88	32.2
3	0:0	0.1	1.71	36.5	1.66	37.3
4	0:0	0.1	1.63	39.9	1.53	43.6
5	0:0	0.1	1.56	42.8	1.56	43.3
6	0:0	0.1	1.5	45.2	1.55	44.2
7	0:0	0.1	1.45	47.0	1.52	47.1
8	0:0	0.1	1.42	48.4	1.44	47.3
9	0:0	0.1	1.38	50.2	1.37	51.1
10	0:0	0.1	1.35	51.0	1.41	49.5
11	0:0	0.1	1.33	52.3	1.41	50.8
12	0:0	0.1	1.3	53.3	1.37	51.9
13	0:0	0.1	1.28	54.1	1.3	54.4
14	0:0	0.1	1.26	54.8	1.31	53.4
15	0:0	0.1	1.25	55.3	1.26	54.9
16	0:0	0.1	1.23	55.9	1.22	56.4
17	0:0	0.1	1.22	56.5	1.3	54.9
18	0:0	0.1	1.21	57.1	1.29	54.4
19	0:0	0.1	1.19	57.4	1.22	56.8
20	0:0	0.1	1.17	58.1	1.26	55.2
21	0:0	0.1	1.17	58.3	1.2	57.5
22	0:0	0.1	1.16	58.9	1.28	55.8
23	0:0	0.1	1.15	59.0	1.27	56.0
24	0:0	0.1	1.14	59.3	1.2	57.2
25	0:0	0.1	1.14	59.8	1.2	58.1
26	0:0	0.1	1.13	59.6	1.28	56.0
27	0:0	0.1	1.12	60.0	1.18	58.5
28	0:0	0.1	1.11	60.4	1.16	58.9
29	0:0	0.1	1.11	60.5	1.23	57.5
30	0:0	0.001	1.05	62.8	1.06	62.6
31	0:0	0.01	1.02	63.8	1.05	63.3
32	0:0	0.01	1.01	64.4	1.05	62.7
33	0:0	0.01	1.01	64.3	1.05	63.0
34	0:0	0.01	1.0	64.3	1.03	63.8
35	0:0	0.01	1.0	64.4	1.03	63.8
36	0:0	0.01	0.996	64.6	1.05	62.8
37	0:0	0.01	0.996	64.8	1.04	63.7
38	0:0	0.01	0.993	64.5	1.05	63.1
39	0:0	0.01	0.99	64.7	1.03	63.8
40	0:0	0.01	0.985	65.1	1.03	63.5
41	0:0	0.01	0.984	65.2	1.04	63.7
42	0:0	0.01	0.978	65.2	1.04	63.2
43	0:0	0.01	0.981	65.1	1.03	63.8
44	0:0	0.01	0.975	65.3	1.04	64.0
45	0:0	0.01	0.977	65.1	1.04	64.0
46	0:0	0.01	0.974	65.2	1.03	64.0
47	0:0	0.01	0.976	65.3	1.04	63.7
48	0:0	0.01	0.974	65.5	1.04	63.7
49	0:0	0.01	0.971	65.5	1.02	64.2
50	0:0	0.01	0.962	66.0	1.03	63.5
51	0:0	0.01	0.967	65.8	1.03	63.5
52	0:0	0.01	0.967	65.4	1.03	63.8
53	0:0	0.01	0.962	65.8	1.03	63.3
54	0:0	0.01	0.959	65.9	1.03	63.4
55	0:0	0.01	0.954	65.9	1.02	64.1
56	0:0	0.01	0.958	65.8	1.04	63.6
57	0:0	0.01	0.954	66.0	1.02	64.5
58	0:0	0.01	0.956	66.0	1.02	64.2
59	0:0	0.01	0.948	66.2	1.03	64.0
60	0:0	0.0001	0.936	66.6	1.02	64.3
61	0:0	0.001	0.933	66.9	1.02	64.2
62	0:0	0.001	0.937	66.6	1.01	64.7
63	0:0	0.001	0.941	66.6	1.01	64.8
64	0:0	0.001	0.932	66.9	1.01	64.4
65	0:0	0.001	0.929	66.9	1.01	64.5
66	0:0	0.001	0.93	66.9	1.01	64.6
67	0:0	0.001	0.932	66.9	1.01	64.7
68	0:0	0.001	0.93	67.1	1.01	65.0
69	0:0	0.001	0.929	67.0	1.0	65.2
70	0:0	0.001	0.935	66.7	1.02	64.4
71	0:0	0.001	0.931	66.8	1.01	64.7
72	0:0	0.001	0.927	67.3	1.01	64.2
73	0:0	0.001	0.929	67.0	1.01	64.4
74	0:0	0.001	0.926	67.0	1.02	64.7
75	0:0	0.001	0.928	66.9	1.01	64.6
76	0:0	0.001	0.924	67.1	1.01	64.4
77	0:0	0.001	0.929	66.8	1.02	64.4
78	0:0	0.001	0.927	67.3	1.01	64.5
79	0:0	0.001	0.93	66.8	1.0	65.3
80	0:0	0.001	0.926	67.3	1.01	64.4
81	0:0	0.001	0.93	66.9	0.997	64.6
82	0:0	0.001	0.927	66.9	1.0	64.4
83	0:0	0.001	0.921	67.4	1.0	64.9
84	0:0	0.001	0.921	67.1	1.01	65.2
85	0:0	0.001	0.921	67.2	1.01	64.5
86	0:0	0.001	0.923	67.1	1.01	64.6
87	0:0	0.001	0.922	67.2	1.01	64.3
88	0:0	0.001	0.923	67.2	1.01	64.0
89	0:0	0.001	0.929	67.0	0.999	65.2
