epoch	time	lr	train loss	train acc	testloss	test acc
0	0:0	0.1	2.07	23.4	1.79	34.1
1	0:0	0.1	1.64	38.3	1.63	39.3
2	0:0	0.1	1.49	45.0	1.46	46.9
3	0:0	0.1	1.37	50.1	1.47	47.3
4	0:0	0.1	1.27	54.3	1.47	49.3
5	0:0	0.1	1.2	56.9	1.3	55.4
6	0:0	0.1	1.14	59.0	1.21	57.4
7	0:0	0.1	1.09	61.1	1.18	59.0
8	0:0	0.1	1.05	62.7	1.17	59.0
9	0:0	0.1	1.01	63.8	1.06	62.6
10	0:0	0.1	0.982	65.3	1.04	64.0
11	0:0	0.1	0.961	66.0	1.08	63.3
12	0:0	0.1	0.93	66.9	1.07	62.8
13	0:0	0.1	0.907	67.8	1.07	63.4
14	0:0	0.1	0.891	68.3	0.947	66.7
15	0:0	0.1	0.873	69.3	1.05	64.9
16	0:0	0.1	0.857	69.6	0.899	68.3
17	0:0	0.1	0.85	69.9	0.907	68.2
18	0:0	0.1	0.828	70.7	0.928	68.0
19	0:0	0.1	0.819	71.0	0.914	68.3
20	0:0	0.1	0.807	71.6	0.972	66.6
21	0:0	0.1	0.796	71.7	0.907	68.3
22	0:0	0.1	0.782	72.4	1.01	66.2
23	0:0	0.1	0.778	72.7	0.909	68.7
24	0:0	0.1	0.765	73.0	0.861	70.2
25	0:0	0.1	0.76	73.2	0.883	69.8
26	0:0	0.1	0.754	73.4	0.928	68.6
27	0:0	0.1	0.748	73.5	0.847	70.7
28	0:0	0.1	0.738	74.0	0.946	67.6
29	0:0	0.1	0.73	74.2	0.859	70.8
30	0:0	0.001	0.65	77.2	0.734	74.3
31	0:0	0.01	0.622	78.1	0.733	74.6
32	0:0	0.01	0.616	78.4	0.716	75.1
33	0:0	0.01	0.608	78.7	0.73	74.6
34	0:0	0.01	0.604	78.7	0.731	74.9
35	0:0	0.01	0.598	79.0	0.725	74.7
36	0:0	0.01	0.588	79.3	0.729	74.8
37	0:0	0.01	0.587	79.3	0.707	75.4
38	0:0	0.01	0.582	79.6	0.728	75.1
39	0:0	0.01	0.579	79.5	0.73	75.2
40	0:0	0.01	0.575	79.7	0.725	75.2
41	0:0	0.01	0.579	79.7	0.719	75.5
42	0:0	0.01	0.578	79.7	0.714	75.4
43	0:0	0.01	0.568	80.1	0.731	75.3
44	0:0	0.01	0.564	80.3	0.732	75.3
45	0:0	0.01	0.564	80.2	0.724	75.8
46	0:0	0.01	0.561	80.2	0.719	75.7
47	0:0	0.01	0.566	80.1	0.721	75.4
48	0:0	0.01	0.559	80.0	0.724	75.1
49	0:0	0.01	0.551	80.5	0.733	75.1
50	0:0	0.01	0.55	80.5	0.723	75.2
51	0:0	0.01	0.552	80.4	0.732	75.2
52	0:0	0.01	0.548	80.7	0.727	75.5
53	0:0	0.01	0.541	80.8	0.73	75.2
54	0:0	0.01	0.541	80.8	0.745	75.1
55	0:0	0.01	0.543	80.9	0.717	76.1
56	0:0	0.01	0.54	80.9	0.729	75.7
57	0:0	0.01	0.537	80.9	0.718	75.9
58	0:0	0.01	0.535	81.1	0.716	75.7
59	0:0	0.01	0.53	81.4	0.725	75.7
60	0:0	0.0001	0.518	81.7	0.706	76.2
61	0:0	0.001	0.514	81.9	0.705	76.4
62	0:0	0.001	0.51	82.0	0.709	76.2
63	0:0	0.001	0.513	81.7	0.716	75.7
64	0:0	0.001	0.513	81.9	0.707	76.0
65	0:0	0.001	0.51	82.2	0.692	76.7
66	0:0	0.001	0.508	82.1	0.714	76.0
67	0:0	0.001	0.505	82.1	0.7	76.3
68	0:0	0.001	0.509	81.9	0.708	76.0
69	0:0	0.001	0.507	82.1	0.714	75.9
70	0:0	0.001	0.506	82.1	0.714	76.0
71	0:0	0.001	0.508	81.9	0.708	76.7
72	0:0	0.001	0.51	82.1	0.705	76.3
73	0:0	0.001	0.504	82.2	0.706	76.4
74	0:0	0.001	0.503	82.4	0.72	76.1
75	0:0	0.001	0.506	82.2	0.707	76.2
76	0:0	0.001	0.5	82.2	0.702	76.2
77	0:0	0.001	0.503	82.1	0.719	76.1
78	0:0	0.001	0.504	82.3	0.71	76.0
79	0:0	0.001	0.506	82.0	0.713	76.2
80	0:0	0.001	0.5	82.3	0.714	75.8
81	0:0	0.001	0.502	82.1	0.704	76.5
82	0:0	0.001	0.507	81.9	0.712	76.1
83	0:0	0.001	0.502	82.1	0.712	76.0
84	0:0	0.001	0.499	82.2	0.703	76.6
85	0:0	0.001	0.503	82.2	0.701	76.5
86	0:0	0.001	0.501	82.4	0.711	76.3
87	0:0	0.001	0.497	82.5	0.716	76.5
88	0:0	0.001	0.497	82.4	0.709	76.5
89	0:0	0.001	0.501	82.3	0.72	76.1
